
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-2-13,8,3,-2,4,3,1,100,84,59,1027,1024,1021,4,3,1,11,6,,0.25,6,Fog-Rain,346<br />
2015-2-14,4,3,3,4,3,2,100,99,93,1022,1017,1013,8,4,0,14,5,39,8.89,7,Fog-Rain,24<br />
2015-2-15,4,2,0,4,2,0,100,99,93,1018,1014,1012,10,6,2,21,11,32,14.99,8,Rain-Snow,355<br />
2015-2-16,9,6,3,5,4,2,100,83,63,1024,1020,1017,11,10,10,21,11,,0.00,6,Rain,349<br />
2015-2-17,13,7,1,4,3,0,100,74,40,1033,1028,1023,26,13,10,16,10,,0.00,6,,337<br />
2015-2-18,11,4,-2,3,1,-3,100,73,37,1038,1035,1032,14,10,6,10,6,29,0.00,6,Fog,80<br />
2015-2-19,11,3,-5,3,-1,-5,100,84,45,1037,1032,1028,10,6,3,10,5,,0.00,,Fog,323<br />
2015-2-20,11,2,-6,3,1,-5,100,79,53,1029,1023,1017,11,8,2,16,6,,0.00,6,Fog,78<br />
2015-2-21,5,3,1,4,3,1,100,93,78,1017,1008,1002,8,4,1,23,8,37,18.03,7,Rain,24<br />
2015-2-22,12,6,-1,4,2,-2,100,84,42,1006,1003,1001,26,9,4,26,13,,1.02,7,Rain,325<br />
2015-2-23,11,3,-4,1,-1,-4,93,69,36,1007,1005,1003,26,16,10,14,8,,0.00,5,,340<br />
2015-2-24,11,5,-1,2,-4,-12,87,54,11,1008,1004,1002,19,11,10,34,10,47,0.00,6,,350<br />
2015-2-25,14,7,-1,-6,-10,-12,69,25,8,1016,1012,1008,31,15,10,29,18,48,0.00,4,,18<br />
2015-2-26,12,3,-6,1,-3,-9,87,59,22,1020,1017,1016,31,18,10,19,10,,0.00,3,,36<br />
2015-2-27,12,6,-2,1,0,-2,93,66,33,1017,1013,1011,26,12,10,13,6,,0.00,6,,314<br />
2015-2-28,13,7,0,2,0,-3,87,61,25,1020,1016,1014,19,12,10,21,6,,0.00,4,,13<br />
2015-3-1,14,6,-3,2,0,-4,93,66,29,1020,1016,1014,31,13,10,13,6,,0.00,3,,319<br />
2015-3-2,13,7,1,5,3,-2,87,69,46,1016,1012,1009,31,14,7,14,6,,0.00,6,,310<br />
2015-3-3,15,6,-3,3,-2,-5,87,55,18,1025,1020,1016,26,22,14,21,8,34,0.00,,,80<br />
2015-3-4,13,6,-2,6,-1,-11,100,68,11,1024,1020,1017,14,8,5,29,10,47,0.00,6,Fog,5<br />
2015-3-5,13,10,7,-11,-14,-17,25,16,5,1026,1023,1020,10,10,10,47,29,71,0.00,8,,13<br />
2015-3-6,13,5,-3,-4,-9,-16,65,32,7,1032,1029,1026,,,,24,11,,0.00,,,69<br />
2015-3-7,12,4,-4,-2,-5,-7,86,54,19,1035,1031,1028,,,,14,6,26,0.00,,,5<br />
2015-3-8,13,4,-4,0,-2,-7,86,58,22,1032,1027,1025,26,26,26,16,6,,0.00,,,32<br />
2015-3-9,12,4,-3,2,-2,-5,93,65,29,1028,1026,1024,26,14,9,13,5,,0.00,3,,73<br />
2015-3-10,16,7,-3,2,0,-4,98,65,25,1028,1024,1022,14,8,5,11,8,,0.00,,Fog,309<br />
2015-3-11,18,9,1,4,3,-1,93,59,23,1024,1019,1015,14,7,5,19,6,,0.00,,,303<br />
2015-3-12,15,6,-3,3,-2,-4,93,54,17,1024,1022,1020,10,7,5,14,8,,0.00,,,80<br />
2015-3-13,15,7,-1,3,-2,-6,81,53,17,1022,1018,1015,13,11,10,13,6,27,0.00,5,,71<br />
2015-3-14,12,7,3,0,-2,-3,75,48,30,1023,1020,1019,14,10,10,14,8,,0.00,6,Rain,40<br />
2015-3-15,12,7,2,5,2,-1,93,64,36,1027,1024,1022,11,10,8,21,10,48,5.08,6,Rain,40<br />
2015-3-16,7,6,4,7,6,4,100,94,87,1028,1027,1025,10,8,5,16,11,,2.03,8,Rain,353<br />
2015-3-17,11,8,4,9,6,4,100,89,69,1029,1027,1026,19,10,6,19,11,,0.51,7,Rain,343<br />
2015-3-18,14,8,1,7,4,2,100,80,42,1028,1024,1022,19,10,4,13,8,,0.76,1,Fog,17<br />
2015-3-19,16,9,2,7,6,3,100,76,43,1025,1022,1021,8,6,3,11,6,24,0.51,4,Fog,13<br />
2015-3-20,15,10,5,6,4,2,81,59,29,1025,1023,1022,10,8,6,11,6,37,0.25,5,,133<br />
2015-3-21,13,11,8,7,3,1,93,62,36,1023,1018,1015,10,9,4,13,5,,0.25,6,,63<br />
2015-3-22,8,8,7,8,7,5,100,92,80,1020,1016,1013,19,6,3,14,8,,0.25,7,Rain,24<br />
2015-3-23,16,9,1,7,4,2,100,72,35,1020,1016,1013,19,11,8,13,6,,0.25,4,Rain,60<br />
2015-3-24,12,10,8,8,7,5,100,82,64,1014,1012,1011,10,5,3,14,8,,0.00,8,Rain,4<br />
2015-3-25,12,9,7,9,7,5,100,88,54,1011,1004,1000,10,7,3,27,14,35,0.25,8,Rain,328<br />
2015-3-26,16,11,7,10,8,7,100,83,52,1009,1005,1001,10,8,3,11,5,,0.25,6,Rain,187<br />
2015-3-27,19,11,3,7,-2,-10,100,47,6,1015,1010,1006,31,13,6,42,14,64,0.00,2,Fog,2<br />
2015-3-28,19,9,-1,2,-3,-8,76,38,12,1018,1015,1013,31,18,10,26,11,,0.25,3,,301<br />
2015-3-29,19,10,2,6,2,-1,87,55,23,1015,1011,1007,31,19,10,13,6,29,0.00,2,,102<br />
2015-3-30,22,12,2,7,5,2,100,62,23,1011,1006,1003,31,15,10,26,6,,0.25,4,Fog,333<br />
2015-3-31,23,13,4,8,3,-8,87,48,11,1012,1008,1002,19,14,10,50,10,72,0.00,2,,337<br />
2015-4-1,17,14,11,-2,-8,-11,31,19,6,1018,1013,1009,19,19,19,50,26,74,0.00,,,355<br />
2015-4-2,18,8,-1,1,-4,-9,66,36,15,1019,1015,1010,19,19,19,24,13,,0.00,,,315<br />
2015-4-3,16,9,3,5,1,-2,71,49,25,1020,1016,1012,31,11,1,19,8,35,0.00,4,,116<br />
2015-4-4,13,11,8,3,1,-3,66,53,25,1016,1011,1007,26,12,10,14,8,,0.00,5,,109<br />
2015-4-5,11,7,3,5,3,0,100,70,43,1019,1012,1008,26,12,10,16,6,34,0.00,6,Rain,143<br />
2015-4-6,14,7,-1,2,-4,-11,100,50,12,1025,1020,1018,21,14,10,34,13,35,0.00,6,,29<br />
2015-4-7,16,9,0,-5,-9,-14,64,24,7,1030,1028,1025,21,20,19,29,19,50,0.00,,,35<br />
2015-4-8,19,8,-4,0,-4,-6,86,44,12,1031,1027,1024,19,19,19,14,6,,0.00,,,293<br />
2015-4-9,20,11,1,2,-1,-3,70,42,16,1031,1028,1026,19,18,14,14,8,,0.00,,,73<br />
2015-4-10,21,12,3,5,3,0,87,52,18,1029,1026,1024,19,13,10,14,8,,0.00,,,134<br />
2015-4-11,20,12,4,8,6,2,81,61,37,1027,1025,1023,19,12,10,14,6,,0.00,2,,215<br />
2015-4-12,22,12,2,8,6,2,100,63,26,1031,1029,1026,19,19,19,10,5,27,0.00,,,99<br />
2015-4-13,25,16,6,9,6,3,93,53,16,1030,1027,1024,19,19,19,19,8,,0.00,,,290<br />
2015-4-14,27,17,6,6,1,-5,81,40,6,1026,1024,1022,31,19,10,16,8,40,0.00,5,,350<br />
2015-4-15,24,14,5,8,4,-1,71,45,17,1024,1022,1019,31,24,14,13,6,34,0.00,,,51<br />
2015-4-16,21,12,4,11,8,2,87,64,43,1020,1018,1016,19,11,10,13,5,,0.00,4,,160<br />
2015-4-17,16,13,9,12,11,8,100,86,63,1017,1015,1013,11,8,3,11,5,32,1.02,6,Fog-Rain,120<br />
2015-4-18,20,13,6,13,9,6,100,82,60,1021,1014,1011,10,9,5,32,10,55,0.25,4,Fog-Rain,28<br />
2015-4-19,15,11,7,5,2,-1,81,57,27,1023,1021,1019,10,10,10,24,13,40,0.00,6,,80<br />
2015-4-20,20,10,1,6,3,0,100,62,18,1023,1020,1018,19,12,10,14,5,,0.00,2,Fog,266<br />
2015-4-21,23,13,3,7,4,2,100,59,21,1025,1023,1020,26,24,19,16,5,,0.00,,,226<br />
2015-4-22,25,14,4,8,5,2,87,50,21,1024,1021,1016,31,30,26,19,8,,0.00,,,201<br />
2015-4-23,21,14,7,10,8,5,93,63,30,1017,1014,1012,23,14,10,21,8,32,0.00,2,,173<br />
2015-4-24,22,13,4,11,7,3,100,63,33,1017,1015,1014,26,14,10,14,5,32,0.00,2,,111<br />
2015-4-25,14,13,12,12,9,6,96,75,50,1018,1017,1016,26,10,4,16,8,26,0.25,6,Rain,19<br />
2015-4-26,17,14,11,13,12,11,100,92,66,1016,1013,1010,19,8,4,11,6,,0.00,6,Rain,2<br />
2015-4-27,14,13,12,13,13,11,100,97,92,1010,1006,1003,13,6,2,21,10,35,12.95,7,Rain,70<br />
2015-4-28,22,17,11,13,7,-5,100,63,14,1013,1006,1003,26,12,10,34,14,50,0.00,5,Rain,338<br />
2015-4-29,18,12,0,12,3,-7,94,52,20,1019,1016,1014,31,13,3,19,13,45,20.07,3,Rain-Thunderstorm,34<br />
2015-4-30,18,13,9,11,9,7,100,74,39,1018,1016,1015,18,11,4,19,11,,0.00,5,Rain-Thunderstorm,109<br />
2015-5-1,14,11,9,12,11,9,100,94,72,1015,1012,1009,18,9,3,13,5,,0.51,7,Rain,11<br />
2015-5-2,22,14,8,16,12,8,100,81,51,1012,1010,1009,19,11,5,14,8,,0.00,6,Fog-Rain,250<br />
2015-5-3,16,16,14,15,14,13,100,94,82,1015,1013,1012,19,7,0,11,5,,0.51,7,Fog-Rain,3<br />
2015-5-4,20,17,14,15,14,14,100,83,63,1016,1015,1014,11,9,3,13,5,,0.00,6,Rain,345<br />
2015-5-5,23,19,15,16,15,14,94,79,54,1015,1014,1013,10,8,3,11,6,,0.00,5,,15<br />
2015-5-6,24,19,13,17,15,13,100,80,49,1014,1012,1011,21,7,3,14,6,,0.00,4,,49<br />
2015-5-7,24,16,8,17,13,7,100,72,48,1017,1016,1014,10,9,8,16,6,,0.00,4,,52<br />
2015-5-8,23,18,13,16,14,11,94,81,57,1017,1016,1014,19,10,4,21,8,35,1.02,4,Rain,16<br />
2015-5-9,26,18,9,16,10,4,100,63,23,1020,1017,1016,31,18,10,21,8,37,0.00,4,,325<br />
2015-5-10,26,17,7,10,7,4,81,50,24,1024,1023,1020,31,31,31,14,10,27,0.00,,,311<br />
2015-5-11,26,18,9,13,11,7,88,63,36,1026,1024,1022,31,26,19,13,8,,0.00,,,31<br />
2015-5-12,26,19,12,15,12,9,94,62,35,1026,1024,1022,19,19,19,11,6,34,0.00,,,23<br />
2015-5-13,26,19,13,16,14,12,100,71,44,1022,1019,1014,19,13,10,14,5,,0.00,3,,217<br />
2015-5-14,27,19,11,16,14,11,100,71,40,1014,1009,1005,26,13,10,19,6,,0.00,5,Fog,171<br />
2015-5-15,18,14,11,15,12,9,100,86,73,1013,1006,1001,26,9,0,47,14,66,33.02,7,Rain-Hail-Thunderstorm,19<br />
2015-5-16,24,17,10,16,13,11,100,77,43,1020,1017,1013,31,13,8,16,8,,0.00,5,Fog-Rain,238<br />
2015-5-17,26,19,11,15,13,10,100,66,34,1021,1019,1016,31,15,10,14,6,,0.00,1,,323<br />
2015-5-18,26,20,14,16,14,12,100,66,36,1017,1013,1009,31,13,10,11,6,29,4.06,3,,76<br />
2015-5-19,24,18,13,16,14,12,100,79,46,1009,1008,1006,14,10,3,39,8,58,0.51,5,Fog-Rain-Hail-Thunderstorm,30<br />
2015-5-20,19,14,9,14,11,7,100,88,55,1012,1008,1006,19,10,3,32,10,39,480.06,5,Rain-Thunderstorm,7<br />
2015-5-21,17,12,8,11,7,4,87,67,36,1019,1014,1011,26,11,5,40,26,60,2.03,6,Rain,1<br />
2015-5-22,22,14,7,11,9,8,100,73,39,1019,1015,1012,26,13,10,19,6,,0.00,4,Fog,198<br />
2015-5-23,21,14,8,12,10,8,100,76,40,1016,1012,1010,26,12,10,23,6,,0.00,4,Rain,123<br />
2015-5-24,22,14,7,12,10,7,100,70,33,1016,1015,1013,19,11,10,14,5,,0.00,3,Fog,240<br />
2015-5-25,23,17,10,13,12,10,94,68,44,1014,1012,1009,31,12,10,13,6,,0.00,4,,280<br />
2015-5-26,22,17,12,14,12,6,100,71,36,1014,1010,1009,31,15,10,21,8,,2.03,4,Rain-Thunderstorm,238<br />
2015-5-27,23,16,8,11,7,1,100,54,18,1017,1015,1014,31,14,10,23,11,34,0.00,1,,338<br />
2015-5-28,23,18,12,12,9,7,88,59,34,1020,1017,1015,,,,13,10,29,0.00,,,70<br />
2015-5-29,24,17,9,13,11,8,100,63,34,1017,1015,1013,11,10,10,11,5,,0.00,2,,167<br />
2015-5-30,24,19,13,15,14,12,100,74,47,1015,1014,1013,11,9,4,16,8,26,0.00,3,Fog-Rain-Thunderstorm,200<br />
2015-5-31,22,18,13,15,13,12,100,74,55,1019,1017,1016,10,9,7,14,5,,0.00,4,,23<br />
2015-6-1,26,21,15,16,15,13,94,73,48,1019,1018,1016,14,10,10,10,6,27,0.00,4,,338<br />
2015-6-2,28,21,15,16,14,11,100,65,27,1021,1019,1018,26,14,10,11,6,,0.00,4,,340<br />
2015-6-3,29,22,14,18,16,14,94,67,36,1023,1021,1020,19,19,19,11,5,,0.00,,,283<br />
2015-6-4,31,23,16,18,17,15,100,63,30,1023,1022,1021,19,19,19,13,6,,0.00,,,348<br />
2015-6-5,32,24,18,18,17,15,83,60,33,1022,1021,1018,19,13,10,13,6,,0.00,1,,318<br />
2015-6-6,32,26,19,21,17,12,88,59,31,1022,1021,1019,14,10,10,14,8,26,0.00,3,,359<br />
2015-6-7,31,24,18,19,17,14,83,57,38,1023,1021,1017,31,12,10,21,10,,0.00,3,,9<br />
2015-6-8,29,24,19,19,14,11,78,57,33,1020,1017,1014,31,11,10,26,11,,0.00,5,Rain,3<br />
2015-6-9,24,20,16,18,15,12,94,73,51,1017,1016,1015,19,11,10,14,6,35,7.11,4,Rain,325<br />
2015-6-10,26,21,17,18,16,14,100,76,48,1021,1019,1017,19,10,4,19,10,,0.00,5,Rain,343<br />
2015-6-11,29,21,14,17,15,12,100,64,34,1020,1017,1015,19,13,10,13,6,,0.00,1,,344<br />
2015-6-12,25,21,17,19,16,14,94,75,52,1017,1016,1015,19,9,3,19,10,,5.08,5,Rain-Thunderstorm,342<br />
2015-6-13,24,20,16,20,17,16,100,84,56,1016,1015,1012,14,9,6,21,10,,3.05,6,Rain,335<br />
2015-6-14,18,17,16,17,16,14,100,91,77,1014,1011,1009,14,10,5,26,13,,5.08,7,Rain-Thunderstorm,4<br />
2015-6-15,26,21,16,18,16,14,100,78,46,1015,1013,1011,14,10,5,24,6,,4.06,5,Rain-Thunderstorm,225<br />
2015-6-16,24,20,16,18,16,14,100,85,53,1016,1015,1014,11,10,1,21,5,27,20.07,6,Rain-Thunderstorm,3<br />
2015-6-17,25,19,13,16,15,13,100,75,44,1017,1016,1014,31,12,10,16,6,,0.00,3,Fog,161<br />
2015-6-18,26,19,13,17,15,13,100,71,39,1017,1015,1012,19,11,10,11,6,,0.00,3,,350<br />
2015-6-19,27,22,17,18,14,3,100,61,15,1013,1011,1008,14,10,5,24,8,42,0.00,4,,17<br />
2015-6-20,26,19,13,15,12,2,94,58,15,1016,1014,1011,26,11,10,21,11,29,0.00,3,,34<br />
2015-6-21,25,19,13,14,13,10,94,65,33,1018,1017,1015,26,11,10,13,6,,0.00,3,,229<br />
2015-6-22,25,20,15,16,13,11,82,61,37,1017,1015,1011,26,12,2,14,8,35,0.00,4,,125<br />
2015-6-23,27,23,19,17,13,1,88,59,27,1011,1008,1006,19,11,10,26,8,,0.00,4,,25<br />
2015-6-24,25,19,13,13,10,1,77,52,27,1022,1019,1011,10,10,10,29,14,45,0.00,1,,124<br />
2015-6-25,26,18,11,14,11,9,94,58,30,1023,1022,1019,26,14,10,14,6,35,0.00,2,,86<br />
2015-6-26,27,20,13,15,13,11,94,60,29,1021,1019,1016,23,20,19,11,5,,0.00,,,248<br />
2015-6-27,28,22,16,17,15,13,94,62,28,1019,1016,1013,19,16,10,13,6,,0.00,3,,298<br />
2015-6-28,29,22,16,16,14,12,88,56,26,1018,1017,1015,19,19,19,14,8,,0.00,,,240<br />
2015-6-29,29,23,17,18,15,13,83,57,29,1022,1020,1018,31,14,10,13,8,34,0.00,3,,85<br />
2015-6-30,31,24,17,18,16,12,88,58,29,1021,1020,1019,19,17,10,13,6,,0.00,3,,84<br />
2015-7-1,31,24,18,18,17,16,100,62,34,1021,1021,1020,26,18,10,13,5,27,0.00,2,,205<br />
2015-7-2,32,26,19,23,18,14,89,60,32,1024,1022,1020,26,18,10,14,6,,0.00,3,Thunderstorm,173<br />
2015-7-3,33,27,20,21,19,16,94,62,36,1027,1024,1022,19,11,8,19,6,,0.51,4,Rain-Thunderstorm,87<br />
2015-7-4,33,26,19,21,19,16,94,62,31,1027,1023,1019,11,11,10,23,11,,0.00,5,Rain,23<br />
2015-7-5,34,28,21,22,21,19,88,64,37,1021,1019,1016,11,11,10,19,6,,0.00,2,,357<br />
2015-7-6,34,28,21,23,20,17,83,60,33,1019,1018,1015,19,18,14,13,6,26,0.00,,,325<br />
2015-7-7,34,29,23,23,21,18,89,62,40,1018,1016,1012,19,11,10,14,6,,0.00,3,,194<br />
2015-7-8,33,27,21,22,20,18,88,68,35,1013,1009,1006,19,11,10,13,5,,0.00,4,,188<br />
2015-7-9,31,23,16,20,13,4,83,48,20,1016,1012,1009,19,12,10,24,8,42,0.00,2,,50<br />
2015-7-10,30,23,17,14,12,7,77,46,22,1021,1019,1016,19,13,10,19,10,,0.00,2,,10<br />
2015-7-11,31,23,15,18,15,13,88,57,29,1019,1017,1014,19,19,19,14,6,,0.00,,,307<br />
2015-7-12,32,25,18,19,17,16,94,62,31,1017,1015,1013,19,19,19,13,6,27,0.00,,,161<br />
2015-7-13,34,26,18,19,17,12,94,57,23,1014,1013,1011,31,16,10,16,5,,0.00,3,,294<br />
2015-7-14,33,27,21,19,17,15,83,53,25,1017,1015,1013,31,23,14,16,8,37,0.00,,,48<br />
2015-7-15,34,27,21,21,18,17,78,58,30,1018,1016,1014,26,16,10,14,6,32,0.00,1,,126<br />
2015-7-16,34,29,23,21,19,15,83,57,23,1019,1017,1015,13,11,10,13,5,35,0.00,2,,84<br />
2015-7-17,34,28,21,21,18,14,94,57,23,1019,1018,1016,13,11,10,27,6,,0.00,2,,325<br />
2015-7-18,34,27,19,18,16,13,83,49,22,1019,1017,1014,19,13,10,21,8,,0.00,4,,316<br />
2015-7-19,34,27,19,20,17,15,78,53,27,1016,1013,1010,26,15,10,14,8,,0.00,3,,179<br />
2015-7-20,35,27,19,19,19,16,94,61,34,1014,1012,1011,26,15,10,19,3,,0.00,2,,184<br />
2015-7-21,36,28,21,19,18,15,83,52,23,1015,1014,1012,26,12,10,16,6,24,0.00,1,,289<br />
2015-7-22,37,29,22,19,17,14,73,49,23,1015,1013,1010,26,16,10,21,8,32,0.00,2,,348<br />
2015-7-23,35,28,20,21,18,16,83,55,24,1012,1010,1008,26,18,10,14,6,26,0.00,4,,342<br />
2015-7-24,33,27,20,19,17,15,88,58,38,1013,1010,1007,26,11,10,26,8,,0.25,3,Rain-Thunderstorm,11<br />
2015-7-25,31,25,19,20,18,15,100,67,37,1010,1008,1006,31,11,6,19,11,,0.00,4,Rain-Thunderstorm,359<br />
2015-7-26,31,24,18,17,11,4,69,42,21,1013,1010,1009,26,11,10,19,10,37,0.00,3,,75<br />
2015-7-27,32,26,19,18,16,10,88,55,26,1009,1006,1004,26,13,10,16,6,,0.00,3,,197<br />
2015-7-28,31,26,19,18,17,13,88,59,31,1008,1007,1005,26,12,10,19,8,,0.00,3,,146<br />
2015-7-29,31,24,19,20,18,16,94,69,44,1008,1007,1006,19,12,10,34,8,,0.00,3,,58<br />
2015-7-30,29,23,17,18,17,15,94,67,37,1010,1009,1007,14,11,10,19,10,39,0.00,5,Thunderstorm,78<br />
2015-7-31,27,22,18,19,14,12,94,63,36,1016,1014,1010,26,11,10,19,10,40,0.00,5,Thunderstorm,58<br />
2015-8-1,22,19,17,17,14,12,94,75,48,1017,1016,1015,31,11,8,19,10,,0.51,6,Rain,20<br />
2015-8-2,28,20,12,17,15,13,100,69,35,1018,1017,1016,31,13,10,13,5,,0.00,2,Fog,239<br />
2015-8-3,31,23,15,18,17,15,97,65,34,1018,1017,1015,26,16,10,16,6,,0.00,1,,303<br />
2015-8-4,32,25,18,19,18,16,94,64,30,1017,1015,1013,19,12,10,19,6,29,0.00,3,,331<br />
2015-8-5,34,27,19,19,18,16,83,59,29,1017,1016,1014,14,11,10,16,10,,0.00,1,,345<br />
2015-8-6,34,28,21,20,18,16,84,55,24,1017,1016,1014,31,16,10,14,6,,0.00,2,,321<br />
2015-8-7,36,28,21,19,17,16,78,53,26,1017,1016,1014,31,27,24,19,8,,0.00,,,325<br />
2015-8-8,35,28,21,19,17,14,78,49,22,1018,1017,1015,26,13,10,16,8,,0.00,3,,7<br />
2015-8-9,33,27,20,20,17,13,95,54,28,1017,1016,1013,19,10,0,24,11,58,55.88,4,Rain-Thunderstorm,343<br />
2015-8-10,27,22,18,19,18,16,100,80,42,1017,1015,1013,10,8,2,35,19,,2.03,5,Rain-Thunderstorm,303<br />
2015-8-11,32,24,17,18,16,12,100,61,27,1017,1015,1014,14,10,10,14,8,,0.00,3,,282<br />
2015-8-12,33,26,19,18,16,11,78,52,20,1019,1017,1015,14,13,10,19,8,27,0.00,2,,313<br />
